source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409_intersection	1_hypothetical_protein.faa	3_VP1.faa	4_ORF3.faa	6_VP3.faa	8_hypothetical_protein.faa	12_ORF2.faa	13_ORF1.faa	14_ORF3.faa	15_ORF2.faa	16_ORF1.faa	17_VP2.faa	18_VP1.faa	26_Hypothetical_protein.faa	28_VP2.faa	29_hypothetical_protein.faa	34_ORF3.faa	36_ORF1.faa	39_ORF3.faa	41_hypothetical_protein.faa	42_hypothetical_protein.faa	43_ORF2.faa	46_ORF2.faa	54_ORF3.faa	56_hypothetical_protein.faa	59_hypothetical_protein.faa	62_hypothetical_protein.faa	73_ORF3.faa	76_hypothetical_protein.faa	77_ORF1.faa	78_hypothetical_protein.faa	79_hypothetical_protein.faa	80_hypothetical_protein.faa	81_ORF2.faa	83_ORF3.faa	87_orf3.faa	89_orf2.faa	98_ORF4.faa	101_ORF3.faa	105_ORF4.faa	108_ORF3.faa	150_ORF1-1.faa	151_hypothetical_protein.faa	152_hypothetical_protein.faa	153_hypothetical_protein.faa	154_Orf2.faa
Torque-teno-midi-virus-3_taxid_2065044.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-midi-virus-4_taxid_2065045.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-10_taxid_2065036.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-11_taxid_2065037.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Torque-teno-mini-virus-12_taxid_2065038.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Torque-teno-mini-virus-18_taxid_1859149.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Torque-teno-mini-virus-1_taxid_687369.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-2_taxid_687370.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-3_taxid_687371.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-4_taxid_687372.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-5_taxid_687373.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-6_taxid_687374.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-7_taxid_687375.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-8_taxid_687376.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-9_taxid_687377.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-ALA22_taxid_1535290.gbk	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-mini-virus-ALH8_taxid_1535291.gbk	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-sus-virus-k2a_taxid_1968861.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-sus-virus-k2b_taxid_1239832.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Torque-teno-tupaia-virus_taxid_687381.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
Torque-teno-zalophus-virus-1_taxid_1218490.gbk	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
