source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Anelloviridae/cluster_1_homologues_19062021_0409_intersection	Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk	Avian-gyrovirus-2_taxid_1002273.gbk	Chicken-anemia-virus_taxid_12618.gbk	Giant-panda-anellovirus_taxid_2016460.gbk	Gorilla-anellovirus_taxid_1743411.gbk	Gyrovirus-4_taxid_1214955.gbk	Gyrovirus-GyV3_taxid_1163715.gbk	Gyrovirus-GyV7-SF_taxid_1548711.gbk	Gyrovirus-GyV8_taxid_1670973.gbk	Gyrovirus-Tu243_taxid_1415627.gbk	Gyrovirus-Tu789_taxid_1415628.gbk	Lesser-panda-anellovirus_taxid_2012640.gbk	Rodent-Torque-teno-virus-2_taxid_1514665.gbk	Rodent-Torque-teno-virus-6_taxid_2054613.gbk	Seal-anellovirus-2_taxid_1427157.gbk	Seal-anellovirus-3_taxid_1427156.gbk	Seal-anellovirus-TFFN-USA-2006_taxid_991022.gbk	Small-anellovirus-1_taxid_289366.gbk	Small-anellovirus-2_taxid_289367.gbk	TTV-like-mini-virus_taxid_93678.gbk	Torque-teno-Leptonychotes-weddellii-virus-1_taxid_2012676.gbk	Torque-teno-Leptonychotes-weddellii-virus-2_taxid_2012677.gbk	Torque-teno-Tadarida-brasiliensis-virus_taxid_1543419.gbk	Torque-teno-canis-virus_taxid_687385.gbk	Torque-teno-equus-virus-1_taxid_1673633.gbk	Torque-teno-felis-virus-2_taxid_2065043.gbk	Torque-teno-felis-virus_taxid_687384.gbk	Torque-teno-indri-virus-1_taxid_2010248.gbk	Torque-teno-midi-virus-3_taxid_2065044.gbk	Torque-teno-midi-virus-4_taxid_2065045.gbk	Torque-teno-mini-virus-10_taxid_2065036.gbk	Torque-teno-mini-virus-11_taxid_2065037.gbk	Torque-teno-mini-virus-12_taxid_2065038.gbk	Torque-teno-mini-virus-18_taxid_1859149.gbk	Torque-teno-mini-virus-1_taxid_687369.gbk	Torque-teno-mini-virus-2_taxid_687370.gbk	Torque-teno-mini-virus-3_taxid_687371.gbk	Torque-teno-mini-virus-4_taxid_687372.gbk	Torque-teno-mini-virus-5_taxid_687373.gbk	Torque-teno-mini-virus-6_taxid_687374.gbk	Torque-teno-mini-virus-7_taxid_687375.gbk	Torque-teno-mini-virus-8_taxid_687376.gbk	Torque-teno-mini-virus-9_taxid_687377.gbk	Torque-teno-mini-virus-ALA22_taxid_1535290.gbk	Torque-teno-mini-virus-ALH8_taxid_1535291.gbk	Torque-teno-sus-virus-k2a_taxid_1968861.gbk	Torque-teno-sus-virus-k2b_taxid_1239832.gbk	Torque-teno-tupaia-virus_taxid_687381.gbk	Torque-teno-zalophus-virus-1_taxid_1218490.gbk	
26_Hypothetical_protein.faa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28_VP2.faa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34_ORF3.faa	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36_ORF1.faa	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
39_ORF3.faa	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43_ORF2.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46_ORF2.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54_ORF3.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
62_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
73_ORF3.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
76_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
77_ORF1.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
80_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81_ORF2.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83_ORF3.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87_orf3.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
89_orf2.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
98_ORF4.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101_ORF3.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
105_ORF4.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
108_ORF3.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
150_ORF1-1.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
151_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
152_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
153_hypothetical_protein.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
154_Orf2.faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
