Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Pseudomonas-virus-Pf1_taxid_2011081.gbk,Ralstonia-phage-RS603_taxid_1505528.gbk,Ralstonia-phage-RSS0_taxid_1150992.gbk,Ralstonia-phage-RSS1_taxid_384360.gbk,Ralstonia-phage-Rs551_taxid_1852598.gbk,Ralstonia-phage-p12J_taxid_247080.gbk,Stenotrophomonas-phage-PSH1_taxid_2011087.gbk,Stenotrophomonas-phage-SMA6_taxid_1346893.gbk,Stenotrophomonas-phage-SMA7_taxid_1343494.gbk,Stenotrophomonas-phage-SMA9_taxid_334856.gbk,Xanthomonas-phage-Xf109_taxid_1852597.gbk,Xanthomonas-virus-Cf1c_taxid_10862.gbk
86_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0
88_trbP-related.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1
91_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
94_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0
96_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0
97_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0
98_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0
99_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0
107_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0
109_replication_initiati...faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1
112_major_coat_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
117_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1
119_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
120_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
122_B_coat_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
123_A_coat_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
126_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
