54_ssDNA-binding_protei...faa	-	-	-	-	-	ID:YP_004934225.1,	-	-	-	-	
55_hypothetical_protein.faa	-	-	-	-	-	ID:YP_004934226.1,	-	-	-	-	
57_minor_capsid_protein.faa	-	-	-	-	-	ID:YP_004934228.1,	-	-	-	-	
61_hypothetical_protein.faa	-	-	-	-	-	ID:YP_004934232.1,	ID:YP_002925196.1,	ID:NP_542351.1,	-	-	
62_hypothetical_protein.faa	-	-	-	-	-	ID:YP_004934233.1,	ID:YP_002925197.1,	ID:NP_542352.1,	-	-	
65_hypothetical_protein.faa	-	-	-	-	-	-	ID:YP_002925190.1,	ID:NP_542357.2,	-	ID:NP_695204.1,	
66_major_capsid_protein.faa	-	-	-	-	-	-	ID:YP_002925191.1,	-	-	ID:NP_695190.1,	
67_putative_minor_capsi...faa	-	-	-	-	-	-	ID:YP_002925192.1,	-	-	ID:NP_695191.1,	
69_putative_minor_coat_...faa	-	-	-	-	-	-	ID:YP_002925194.1,	ID:NP_542360.1,	-	ID:NP_695194.1,	
70_putative_assembly_pr...faa	-	-	-	-	-	-	ID:YP_002925195.1,	-	-	ID:NP_695195.1,	
73_hypothetical_protein.faa	-	-	-	-	-	-	ID:YP_002925198.1,	-	-	-	
76_prim-VSK.faa	-	-	-	-	-	-	-	ID:NP_542353.1,	-	ID:NP_695199.1,	
81_major_coat_protein.faa	-	-	-	-	-	-	-	ID:NP_752644.1,	-	-	
82_memb2.faa	-	-	-	-	-	-	-	ID:NP_542358.2,	-	ID:NP_695192.1,	
85_VSK-tox1.faa	-	-	-	-	-	-	-	ID:NP_542361.2,	-	-	
86_VSK_tox2.faa	-	-	-	-	-	-	-	ID:NP_542362.1,	-	-	
87_hypothetical_protein.faa	-	-	-	-	-	-	-	ID:NP_542363.1,	-	ID:NP_695196.1,	
88_DNA_replication_init...faa	-	-	-	-	ID:YP_087070.1,	ID:YP_004934224.1,	ID:YP_002925188.1,	ID:NP_542355.1,	ID:NP_059541.1,	ID:NP_695202.1,	
89_hypothetical_protein.faa	-	-	-	-	ID:YP_087071.1,	-	ID:YP_002925189.1,	ID:NP_542356.1,	ID:NP_059542.1,	ID:NP_695203.1,	
90_Vpf76.faa	-	-	-	-	-	-	-	-	ID:NP_059543.1,	-	
93_hypothetical_protein.faa	-	-	-	-	ID:YP_087077.1,	ID:YP_004934229.1,	-	-	ID:NP_059546.1,	-	
94_putative_assembly_pr...faa	-	-	-	-	ID:YP_087078.1,	ID:YP_004934230.1,	-	-	ID:NP_059547.1,	-	
95_Vpf215.faa	-	-	-	-	-	-	-	-	ID:NP_059548.1,	-	
103_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	ID:NP_695197.1,	
104_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	ID:NP_695198.1,	
107_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	ID:NP_695201.1,	
