source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Smacoviridae/Smacoviridae_all_homologues_19062021_0820_intersection	1_capsid_protein.faa	2_replication_associat...faa	16_ORF2.faa	32_ORF3_protein.faa	33_replication-associat...faa	34_capsid_protein.faa	43_ORF5.faa	44_ORF3.faa	45_ORF6.faa	47_ORF4.faa	75_hypothetical_protein.faa	78_hypothetical_protein.faa	97_Rep_protein.faa
Porcine-associated-porprismacovirus-6_taxid_2170122.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-7_taxid_2170123.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-8_taxid_2170124.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-9_taxid_2170125.gbk	1	0	0	0	0	0	0	0	0	0	0	0	1
Porcine-stool-associated-circular-virus-2_taxid_1328031.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-stool-associated-circular-virus_taxid_1843773.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Rat-associated-porprismacovirus-1_taxid_2170126.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Sheep-faeces-associated-smacovirus-1_taxid_1843756.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Sheep-faeces-associated-smacovirus-2_taxid_1843757.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Sheep-faeces-associated-smacovirus-3_taxid_1843758.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
Turkey-associated-porprismacovirus-1_taxid_2170130.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0
