13_hypothetical_protein.faa	-	-	-	-	ID:YP_009109667.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
15_hypothetical_protein.faa	-	-	-	-	-	ID:YP_009109669.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
17_hypothetical_protein.faa	-	-	-	-	-	-	ID:YP_009109671.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
18_hypothetical_protein.faa	-	-	-	-	-	-	ID:YP_009109672.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
19_putative_viral_capsi...faa	-	-	-	-	-	-	-	ID:YP_009109673.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
20_hypothetical_protein.faa	-	-	-	-	-	-	-	ID:YP_009109674.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
22_replication-associat...faa	-	-	-	-	-	-	-	-	ID:YP_009109683.1,	-	-	-	-	ID:YP_009259675.1,	ID:YP_009259682.1,	ID:YP_009259732.1,	-	-	-	ID:YP_009389456.1,	-	-	-	-	-	-	-	-	
24_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	ID:YP_009109641.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
25_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	ID:YP_009109642.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
28_replication-associat...faa	-	-	-	-	-	-	-	-	-	-	ID:YP_009109645.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
29_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	ID:YP_009109646.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
31_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259701.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
32_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259702.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
33_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259703.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
34_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259704.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
36_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259721.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
40_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259676.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
42_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259678.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
45_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259683.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	
46_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259684.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	
50_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259735.1,	-	-	-	-	-	-	-	-	-	-	-	-	
51_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259736.1,	-	-	-	-	-	-	-	-	-	-	-	-	
53_ORF2.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009112560.1,	-	-	-	-	-	-	-	-	-	-	-	
54_cap.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009112561.1,	-	ID:YP_009021878.1,	-	-	ID:YP_009051962.1,	-	-	-	ID:YP_009021874.1,	-	-	
55_capsid-like_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009551982.1,	-	-	-	-	-	-	-	-	-	-	
56_Rep-B.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009551983.1,	-	-	-	-	-	-	-	-	ID:YP_009021877.1,	ID:YP_009408607.1,	
62_capsid_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009389440.1,	-	-	-	-	-	-	-	
63_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009389441.1,	-	-	-	-	-	-	-	
65_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009051961.1,	-	-	-	-	-	-	
67_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009051963.1,	-	-	-	-	-	-	
69_Cap.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009551499.1,	-	-	-	-	-	
71_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009109621.1,	ID:YP_009109624.1,	-	-	-	
72_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009109622.1,	-	-	-	-	
75_hypothetical_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009109625.1,	-	-	-	
78_cap_protein.faa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009021876.1,	ID:YP_009408606.1,	
